symbol,entryTimestampUtc,closeTime,distanceFromEma200H1Pct,slPct,fvgGapSizePct,waitedCandlesCount,breaksKeyZone,atrH1Pct,hourOfDayUtc,dayOfWeekUtc,trendAgeH1Candles,atrPercentileH1,momentumM15Pct3Candles,keyZoneDistancePct,rollingWinRateSameSymbol20,concurrentOpenPositionsCount,won
HYPEUSDT,1750652100000,1750659300000,-4.371966181822831,0.8552298430203175,0.23350025319304116,3,false,2.705013081501463,4,1,117,78,-0.9265220433869925,0.20687245743803642,0.5,0,false
HYPEUSDT,1750662000000,1750666500000,-4.045038573698712,1.2650381765418477,0.047896768376871526,2,false,2.5330232853351404,7,1,120,70,-0.062206639144937126,0.8702811508998604,0.5,0,false
HYPEUSDT,1750671000000,1750673700000,-2.3200614145183804,0.6738808265525814,0.6571037105388234,1,false,2.3841990871902174,9,1,122,55.00000000000001,-2.163508092405598,0.10874056675584101,0.5,0,true
HYPEUSDT,1750681800000,1750683600000,-4.632014723771876,1.0372195639093285,0.2034325664021233,1,false,2.350859262420798,12,1,125,43,-0.34683406426463215,0.8254116589120872,0.5,0,false
SOLUSDT,1750685400000,1750687200000,-4.820162596662618,0.5565862708719851,0.11131725417440125,1,false,1.2293706450855162,13,1,149,55.00000000000001,0.3210153042179969,7.950078236452628,0.55,0,false
ETHUSDT,1750689900000,1750695300000,-6.262601176422773,1.1538612659730911,0.15585640255482974,1,false,1.3562308590976058,14,1,154,68,-0.37371004471406716,3.526026927034631,0.3,0,true
BTCUSDT,1750690800000,1750696200000,-2.0424880100012044,0.5553274089262127,0.09310996090361746,2,false,0.7377474651530573,15,1,72,84,-0.17842306964188281,1.625675914809319,0.65,2,true
XRPUSDT,1750689900000,1750696200000,-4.586815623865661,0.8008700810757361,0.01977456990310243,1,false,1.2741341950009148,14,1,144,81,-0.3905863739741046,0.032751631402006535,0.3,1,true
XRPUSDT,1750697100000,1750698900000,-6.680887664665297,0.5227969637560934,0.40717840446388154,1,false,1.3862013623339364,16,1,146,84,-1.5959303775372813,4.34682695276875,0.35,0,false
ETHUSDT,1750698000000,1750699800000,-8.274869088807733,0.5813875843034232,0.5012575956551635,3,false,1.5241859030694629,17,1,156,79,-1.5984457102485903,2.699713023739544,0.35,1,false
SOLUSDT,1750698900000,1750702500000,-6.734500241878017,0.8806693086746052,0.4403346543372922,11,false,1.5325333744944822,17,1,153,79,-0.42637653458796776,8.634861971748986,0.55,0,false
HYPEUSDT,1750761000000,1750767300000,-0.20687630237366536,1.15481579874758,0.15451760687468394,2,false,2.7073775375250806,10,2,0,70,-0.5257595056776677,1.5153568814551694,0.45,0,false
HYPEUSDT,1750779000000,1750783500000,2.9258073893522156,0.9704573481314726,0.7425875288188328,4,true,2.4920180228620357,15,2,4,56.99999999999999,2.2852512155591476,0.3913999249370029,0.4,1,true
XRPUSDT,1750776300000,1750798800000,2.99504468550883,0.7106180084357164,0.009169264624976067,2,false,1.2040526926407429,14,2,16,59,0.49739787224244203,3.547028740773845,0.35,0,true
HYPEUSDT,1750814100000,1750818600000,2.5768194654066923,1.2174375332270027,0.2791068580542371,1,false,2.3142303854129134,1,3,14,35,0.5367344227447995,1.4165259405197483,0.45,1,true
ETHUSDT,1750814100000,1750825800000,1.6054278205455592,0.6004081632653077,0.14040816326530836,1,false,1.1308154146023364,1,3,11,28.000000000000004,0.13734752183499105,3.201365028231614,0.35,0,false
HYPEUSDT,1750839300000,1750842900000,2.6715617182934586,0.6170212765957428,0.2978723404255369,3,false,2.1390163830317577,8,3,21,18,0.8141329218326092,2.8563829787233987,0.5,0,true
HYPEUSDT,1750850100000,1750859100000,3.8238002197453915,0.9513326519380444,0.2175223419032039,1,false,2.0699554282683987,11,3,24,15,1.3861020171084744,0.5669558228721817,0.55,0,true
HYPEUSDT,1750870800000,1750874400000,-0.21751841761076285,0.679322288752249,0.40276025024836504,1,false,2.2431103482560077,17,3,0,18,-1.1240454958081898,1.9783583492200127,0.6,0,true
ETHUSDT,1750950000000,1750951800000,0.78549833176504,0.5281191653501258,0.21009868893495337,1,false,0.999682914489902,15,4,14,17,0.658219313248247,2.6614283852212672,0.35,2,false
XRPUSDT,1750948200000,1750951800000,-1.0171648167558773,0.6030009816295112,0.21502360585237873,2,false,0.7855518691974603,14,4,0,8,-1.2284211995719025,4.57144222262584,0.35,1,true
HYPEUSDT,1750904100000,1750952700000,1.279942285103857,1.4270797076226784,0.44981123992611954,1,true,1.8799991590963585,2,4,0,3,1.5778078484438387,0.1617943490550583,0.6,0,false
HYPEUSDT,1750971600000,1750973400000,1.016274975383207,0.5766731643924653,1.0937838423218633,1,false,1.8921839175192128,21,4,0,22,2.5059925909784115,0.6312721103169322,0.6,0,true
SOLUSDT,1751004900000,1751009400000,-1.5893654950143534,0.708666997377932,0.07795336971158219,3,false,1.1551286998342623,6,5,17,39,-0.30431705590941743,3.056580451229069,0.55,0,false
SOLUSDT,1751011200000,1751014800000,-1.7843921752870509,0.601514400962419,0.4175217606680372,1,false,1.1536978582391073,8,5,19,40,-0.4390934844192466,2.910721587098826,0.55,0,false
HYPEUSDT,1751011200000,1751014800000,-1.9821832076922594,0.9016147099805969,0.587415644381291,1,false,1.7739764837977363,8,5,10,9,-1.093907317205913,0.2782255493930187,0.6,1,false
HYPEUSDT,1751017500000,1751038200000,-0.234981797930333,0.931236004150967,0.6171828062701379,3,true,1.794180399213299,9,5,0,13,2.4656026417170986,0.2316711271323823,0.6,0,false
XRPUSDT,1751030100000,1751041800000,-2.579458374946654,0.5504499329886964,0.08615738081561372,2,false,0.8228655211524055,13,5,23,13,-0.2966365245682123,2.5958899738336854,0.35,1,false
SOLUSDT,1751043600000,1751046300000,0.6121373458184909,0.5749544243444069,0.14023278642545828,5,false,1.1540616003024466,17,5,1,52,1.064955215459496,1.9592115032936026,0.5,0,false
ETHUSDT,1751047200000,1751049900000,-0.9979908502345058,0.5074565037282519,0.30240265120133314,1,false,0.9857414627680847,18,5,0,21,-1.1668016560525312,1.7238147920449858,0.35,0,true
SOLUSDT,1751047200000,1751049900000,-0.8987748610210857,0.5697003798002548,0.41496694331129796,1,false,1.2430592589991551,18,5,0,65,-1.5106160807518385,4.068610948992111,0.45,1,true
HYPEUSDT,1751118300000,1751127300000,-0.7949243477099527,0.7332097688617486,0.04633667684257253,1,false,1.1702758230746937,13,6,2,1,-0.1608593707399463,1.1547000753280885,0.55,0,false
HYPEUSDT,1751133600000,1751137200000,1.0048216273571033,0.6201466781708477,0.1132441760138093,1,true,1.1026295752582163,18,6,1,3,0.6247633472169678,0.06373048866579638,0.55,0,true
HYPEUSDT,1751183100000,1751184900000,3.83944392511518,0.5379589051880187,0.12333691972604548,1,false,0.9590142029625338,7,0,15,6,1.022511097019659,0.47066718150770875,0.55,0,true
HYPEUSDT,1751233500000,1751235300000,3.6154784662718322,0.6139296723966754,0.6034798056324825,1,true,1.050712758210867,21,0,29,25,1.123772514834859,0.24905515788007773,0.55,0,true
HYPEUSDT,1751269500000,1751272200000,6.712413409258458,0.5890869152813067,0.10982976386601777,1,false,1.5121504638883454,7,1,39,56.99999999999999,0.4714510214772134,0.5117068543757134,0.55,0,false
